# Pod nào bị restart / tạo lại sau fault
# phase=after  utc=20260730-180505
------------------------------------------------------------------------
POD                                              AGE                    RESTARTS   NODE                                             PHASE
37m         Warning   PolicyViolation                replicaset/grafana-668bb9ccc5                         policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
36m         Warning   PolicyViolation                replicaset/grafana-75b6fb7b89                         policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/otel-gateway-586778c9d5                    policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
36m         Warning   PolicyViolation                replicaset/grafana-7687bf6f89                         policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:fe9bdb6513fafc2fbf15b1ec27f408fe94e58bd00c3a0ac8d4848860758623f0: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/email-f7cf7bddd                            policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:ca14e55cc0855e3a8a2de19098d75f69772408d2bef6f9b52663e864ae1a545f: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/email-78cf6dd4b5                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/email-6f88bdd6dc                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/email-6f69b574b4                           policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/email-64fd85d5c                            policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/ad-7949b57f6f                              policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/ad-7b4478ccc8                              policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/ad-9557db66b                               policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/ad-b794f8dfb                               policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:a45fdb96972c11c4b75261ef1205f96c92f5c23fb5edbc47f3b6bb95eb3f27bb: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/email-549fd8774c                           policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:ca14e55cc0855e3a8a2de19098d75f69772408d2bef6f9b52663e864ae1a545f: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/grafana-8697465f44                         policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/grafana-8784f6bc4                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
